Location,Soil Type,Sunlight Hours,Watering Frequency,Fertilizer Type,Temperature (°C),Humidity (%),Growth Milestones
Greenhouse 1,Loam,6,Daily,Chemical,30-40,50,96
Greenhouse 2,Sandy,10,Daily,Organic,20-30,70,59
Greenhouse 3,Sandy,10,Daily,Organic,30-40,60,70
Greenhouse 4,Clay,10,Daily,Chemical,30-40,50,37
Greenhouse 5,Sandy,4,Weekly,Chemical,30-40,60,48
Greenhouse 6,Sandy,10,Weekly,Chemical,20-30,50,76
Greenhouse 7,Loam,10,Daily,Organic,30-40,70,79
Greenhouse 8,Sandy,8,Bi-weekly,Organic,20-30,70,56
Greenhouse 9,Clay,10,Weekly,Organic,20-30,60,53
Greenhouse 10,Sandy,4,Bi-weekly,Organic,20-30,60,54
Greenhouse 11,Loam,4,Bi-weekly,Organic,30-40,60,69
Greenhouse 12,Loam,10,Bi-weekly,Chemical,20-30,70,71
Greenhouse 13,Loam,8,Bi-weekly,Chemical,20-30,70,64
Greenhouse 14,Sandy,8,Daily,Chemical,30-40,50,49
Greenhouse 15,Sandy,6,Daily,Organic,20-30,60,68
Greenhouse 16,Sandy,8,Bi-weekly,Organic,30-40,50,51
Greenhouse 17,Loam,8,Weekly,Chemical,20-30,50,47
Greenhouse 18,Sandy,10,Bi-weekly,Organic,30-40,50,65
Greenhouse 19,Loam,4,Daily,Chemical,30-40,50,68
Greenhouse 20,Sandy,8,Weekly,Chemical,30-40,50,48
Greenhouse 21,Loam,8,Bi-weekly,Chemical,20-30,50,35
Greenhouse 22,Loam,8,Daily,Chemical,30-40,60,58
Greenhouse 23,Sandy,6,Weekly,Chemical,20-30,50,61
Greenhouse 24,Clay,10,Daily,Chemical,30-40,60,35
Greenhouse 25,Clay,8,Daily,Organic,30-40,50,31
Greenhouse 26,Sandy,6,Weekly,Organic,30-40,60,46
Greenhouse 27,Loam,6,Bi-weekly,Organic,20-30,50,54
Greenhouse 28,Loam,8,Daily,Organic,30-40,70,65
Greenhouse 29,Clay,6,Bi-weekly,Organic,20-30,50,69
Greenhouse 30,Sandy,8,Weekly,Organic,30-40,50,46
Greenhouse 31,Loam,4,Weekly,Organic,20-30,50,57
Greenhouse 32,Clay,4,Weekly,Chemical,30-40,60,33
Greenhouse 33,Sandy,6,Daily,Organic,20-30,50,35
Greenhouse 34,Loam,6,Bi-weekly,Organic,20-30,70,59
Greenhouse 35,Clay,10,Weekly,Organic,30-40,50,70
Greenhouse 36,Loam,10,Weekly,Chemical,30-40,70,44
Greenhouse 37,Loam,4,Daily,Chemical,20-30,60,59
Greenhouse 38,Loam,6,Bi-weekly,Organic,30-40,60,71
Greenhouse 39,Clay,6,Weekly,Chemical,30-40,50,69
Greenhouse 40,Loam,8,Weekly,Chemical,20-30,60,71
Greenhouse 41,Clay,10,Daily,Organic,20-30,70,31
Greenhouse 42,Clay,4,Weekly,Organic,30-40,50,66
Greenhouse 43,Sandy,4,Weekly,Organic,20-30,50,41
Greenhouse 44,Clay,4,Bi-weekly,Organic,20-30,60,61
Greenhouse 45,Sandy,4,Daily,Chemical,20-30,60,70
Greenhouse 46,Sandy,10,Bi-weekly,Organic,20-30,60,61
Greenhouse 47,Clay,4,Weekly,Chemical,20-30,60,69
Greenhouse 48,Sandy,4,Weekly,Organic,30-40,70,32
Greenhouse 49,Clay,4,Weekly,Organic,30-40,70,50
Greenhouse 50,Clay,4,Weekly,Chemical,20-30,60,77
Greenhouse 51,Sandy,10,Weekly,Organic,20-30,70,65
Greenhouse 52,Sandy,8,Weekly,Organic,30-40,70,40
Greenhouse 53,Clay,8,Daily,Organic,20-30,70,57
Greenhouse 54,Loam,6,Bi-weekly,Chemical,30-40,50,64
Greenhouse 55,Sandy,8,Weekly,Organic,30-40,70,65
Greenhouse 56,Loam,4,Daily,Chemical,20-30,50,36
Greenhouse 57,Clay,4,Bi-weekly,Organic,30-40,70,80
Greenhouse 58,Loam,8,Weekly,Organic,30-40,50,61
Greenhouse 59,Clay,8,Daily,Chemical,30-40,50,48
Greenhouse 60,Clay,4,Weekly,Organic,30-40,60,53
Greenhouse 61,Sandy,8,Bi-weekly,Organic,30-40,60,51
Greenhouse 62,Sandy,6,Daily,Organic,20-30,70,58
Greenhouse 63,Loam,8,Weekly,Chemical,30-40,70,72
Greenhouse 64,Clay,4,Weekly,Chemical,20-30,50,42
Greenhouse 65,Clay,4,Daily,Chemical,20-30,60,79
Greenhouse 66,Clay,10,Daily,Organic,30-40,50,30
Greenhouse 67,Loam,10,Bi-weekly,Chemical,20-30,60,30
Greenhouse 68,Clay,10,Bi-weekly,Chemical,30-40,50,37
Greenhouse 69,Clay,4,Bi-weekly,Chemical,30-40,70,44
Greenhouse 70,Clay,8,Daily,Chemical,20-30,70,78
Greenhouse 71,Sandy,6,Weekly,Chemical,30-40,60,44
Greenhouse 72,Clay,4,Bi-weekly,Organic,30-40,60,53
Greenhouse 73,Clay,10,Daily,Chemical,30-40,60,67
Greenhouse 74,Clay,4,Bi-weekly,Chemical,30-40,60,80
Greenhouse 75,Loam,6,Bi-weekly,Chemical,20-30,50,58
Greenhouse 76,Loam,6,Bi-weekly,Chemical,20-30,50,32
Greenhouse 77,Loam,6,Weekly,Organic,30-40,50,31
Greenhouse 78,Sandy,6,Bi-weekly,Organic,30-40,50,54
Greenhouse 79,Loam,8,Weekly,Organic,30-40,50,41
Greenhouse 80,Loam,4,Weekly,Organic,30-40,50,75
Greenhouse 81,Clay,8,Daily,Organic,20-30,70,61
Greenhouse 82,Sandy,4,Weekly,Organic,30-40,60,41
Greenhouse 83,Loam,6,Daily,Chemical,30-40,70,82
Greenhouse 84,Sandy,10,Weekly,Chemical,30-40,60,37
Greenhouse 85,Sandy,4,Daily,Organic,20-30,50,44
Greenhouse 86,Sandy,6,Bi-weekly,Organic,30-40,60,80
Greenhouse 87,Loam,8,Daily,Chemical,30-40,50,33
Greenhouse 88,Clay,6,Daily,Chemical,20-30,60,70
Greenhouse 89,Clay,10,Daily,Chemical,30-40,50,40
Greenhouse 90,Loam,4,Weekly,Organic,20-30,50,68
Greenhouse 91,Clay,6,Weekly,Chemical,30-40,70,52
Greenhouse 92,Loam,4,Bi-weekly,Organic,20-30,70,63
Greenhouse 93,Clay,10,Bi-weekly,Chemical,20-30,70,67
Greenhouse 94,Clay,8,Bi-weekly,Organic,20-30,60,46
Greenhouse 95,Sandy,6,Bi-weekly,Organic,30-40,60,72
Greenhouse 96,Clay,4,Weekly,Chemical,30-40,50,62
Greenhouse 97,Clay,8,Weekly,Chemical,20-30,60,35
Greenhouse 98,Sandy,6,Daily,Chemical,20-30,70,55
Greenhouse 99,Loam,10,Daily,Organic,30-40,50,38
Greenhouse 100,Sandy,10,Bi-weekly,Organic,20-30,70,51
Greenhouse 101,Loam,10,Bi-weekly,Chemical,30-40,60,58
Greenhouse 102,Clay,10,Weekly,Organic,30-40,50,33
Greenhouse 103,Loam,4,Weekly,Organic,20-30,60,48
Greenhouse 104,Sandy,6,Daily,Chemical,20-30,50,53
Greenhouse 105,Loam,10,Weekly,Chemical,30-40,60,37
Greenhouse 106,Loam,4,Bi-weekly,Organic,20-30,60,49
Greenhouse 107,Sandy,4,Bi-weekly,Organic,30-40,50,36
Greenhouse 108,Clay,6,Bi-weekly,Organic,20-30,70,41
Greenhouse 109,Sandy,10,Bi-weekly,Chemical,30-40,50,57
Greenhouse 110,Clay,10,Daily,Chemical,20-30,70,43
Greenhouse 111,Loam,8,Daily,Organic,20-30,60,35
Greenhouse 112,Sandy,6,Weekly,Chemical,20-30,60,43
Greenhouse 113,Loam,6,Weekly,Chemical,30-40,70,40
Greenhouse 114,Sandy,6,Bi-weekly,Organic,20-30,70,52
Greenhouse 115,Clay,6,Weekly,Chemical,20-30,50,61
Greenhouse 116,Sandy,6,Bi-weekly,Chemical,30-40,70,48
Greenhouse 117,Loam,10,Daily,Chemical,30-40,70,74
Greenhouse 118,Clay,10,Daily,Chemical,30-40,70,34
Greenhouse 119,Clay,6,Weekly,Organic,20-30,60,73
Greenhouse 120,Loam,6,Daily,Chemical,30-40,60,93
Greenhouse 121,Clay,8,Weekly,Organic,30-40,50,75
Greenhouse 122,Loam,6,Bi-weekly,Chemical,20-30,50,78
Greenhouse 123,Sandy,10,Bi-weekly,Organic,30-40,50,60
Greenhouse 124,Sandy,4,Weekly,Organic,30-40,50,56
Greenhouse 125,Sandy,8,Daily,Organic,20-30,50,32
Greenhouse 126,Clay,8,Weekly,Organic,30-40,50,41
Greenhouse 127,Sandy,8,Bi-weekly,Organic,30-40,60,30
Greenhouse 128,Clay,4,Weekly,Organic,30-40,50,66
Greenhouse 129,Sandy,8,Bi-weekly,Organic,20-30,70,68
Greenhouse 130,Sandy,4,Daily,Chemical,20-30,50,58
Greenhouse 131,Clay,8,Daily,Organic,20-30,50,70
Greenhouse 132,Clay,8,Weekly,Organic,30-40,70,78
Greenhouse 133,Loam,6,Bi-weekly,Chemical,20-30,70,58
Greenhouse 134,Loam,6,Weekly,Organic,30-40,60,72
Greenhouse 135,Clay,10,Bi-weekly,Organic,30-40,60,54
Greenhouse 136,Loam,8,Daily,Organic,30-40,70,31
Greenhouse 137,Sandy,4,Daily,Chemical,20-30,60,73
Greenhouse 138,Loam,8,Bi-weekly,Chemical,20-30,70,59
Greenhouse 139,Sandy,6,Weekly,Organic,30-40,60,73
Greenhouse 140,Sandy,4,Daily,Chemical,30-40,50,49
Greenhouse 141,Clay,10,Bi-weekly,Organic,20-30,60,77
Greenhouse 142,Loam,6,Daily,Chemical,20-30,70,94
Greenhouse 143,Clay,6,Bi-weekly,Chemical,30-40,50,39
Greenhouse 144,Clay,6,Daily,Chemical,20-30,60,62
Greenhouse 145,Sandy,4,Weekly,Chemical,30-40,50,58
Greenhouse 146,Sandy,4,Weekly,Organic,20-30,70,79
Greenhouse 147,Sandy,8,Daily,Organic,20-30,70,33
Greenhouse 148,Sandy,8,Daily,Organic,30-40,70,79
Greenhouse 149,Sandy,10,Weekly,Chemical,20-30,70,54
